SIG,MRK,TRC,FREQ,PEAK AMPL,QPD AMPL,EAVG AMPL,PEAK LL1 DELTA,QPD LL4 DELTA,EAVG LL5 DELTA,COMPOSITE AMPCOR,RBW,RBW TYPE,TIMESTAMP,COMMENT,USE ANTENNA UNIT
1,False,1,30000000,21.7154309393563,20.1372601629891,18.6549298407235,---,-24.8627398403711,-16.3450701626367,0,9000,CISPR,2018/11/29 20:09:07,,False
2,False,1,30300000,21.416282379786,20.4039075018563,19.0909039618172,---,-24.607203612615,-15.9202071526541,0,9000,CISPR,2018/11/29 20:09:09,,False
3,False,1,30500000,21.5606686712899,20.7444760443368,19.4402310492196,---,-24.274042477542,-15.5782874726591,0,9000,CISPR,2018/11/29 20:09:12,,False
4,False,1,31600000,24.3939892889657,23.5661389471688,22.5758053900399,---,-21.4931203154507,-12.4834538725796,0,9000,CISPR,2018/11/29 20:09:14,,False
5,False,1,32500000,26.7031018377938,26.2260586859383,25.3258816839852,---,-18.8665339100145,-9.76671091196759,0,9000,CISPR,2018/11/29 20:09:16,,False
6,False,1,33000000,28.2755734564461,27.7700726629891,27.0028073431649,---,-17.3410384514822,-8.10830377130642,0,9000,CISPR,2018/11/29 20:09:19,,False
7,False,1,33500000,29.7903897406258,29.1894604803719,28.4519192816414,---,-15.9401691526179,-6.67771035134838,0,9000,CISPR,2018/11/29 20:09:21,,False
8,False,1,34600000,31.4201657416024,31.0348050238289,30.3339078070321,---,-14.1355653499016,-4.83646256669849,0,9000,CISPR,2018/11/29 20:09:23,,False
9,False,1,35000000,31.5832516791024,31.2625119330086,30.5797803045907,---,-13.9226732555367,-4.60540488395472,0,9000,CISPR,2018/11/29 20:09:26,,False
10,False,1,35200000,31.5547177435555,31.2784192206063,30.6108853460946,---,-13.9141733753465,-4.58170724985821,0,9000,CISPR,2018/11/29 20:09:28,,False
11,False,1,35500000,31.6443020941414,31.2699124457039,30.6227185370125,---,-13.93379126136,-4.58098517005136,0,9000,CISPR,2018/11/29 20:09:30,,False
12,False,1,36500000,30.2087094427743,29.8642346502938,29.2758633734383,---,-15.3765060938071,-5.96487737066262,0,9000,CISPR,2018/11/29 20:09:32,,False
13,False,1,37200000,28.7534711004891,28.1377637030282,27.55277224795,---,-17.1289029669987,-7.71389442207682,0,9000,CISPR,2018/11/29 20:09:35,,False
14,False,1,37200296.919460595,29.7581936957039,28.1502225042977,27.4825513006844,---,-17.1164551627462,-7.7841263663595,0,9000,CISPR,2018/11/29 20:09:37,,False
15,False,1,38000000,26.2544858099618,25.7901990057625,25.1413647772469,---,-19.506097293894,-10.1549315224096,0,9000,CISPR,2018/11/29 20:09:39,,False
16,False,1,38600000,24.5991208197274,23.9474408270516,23.2485043646493,---,-21.3710776948271,-12.0700141572295,0,9000,CISPR,2018/11/29 20:09:42,,False
17,False,1,39500000,22.4476010443368,21.0956875921883,20.2548977972664,---,-24.2561642630237,-15.0969540579456,0,9000,CISPR,2018/11/29 20:09:44,,False
18,False,1,40300000,20.0430218817391,18.7992016913094,17.7398907782235,---,-26.5822797935323,-17.6415907066182,0,9000,CISPR,2018/11/29 20:09:46,,False
19,False,1,40700000,19.6256863714852,17.8320080877938,16.7044217230477,---,-27.5642882118627,-18.6918745766088,0,9000,CISPR,2018/11/29 20:09:49,,False
20,False,1,41500000,17.6890103460946,16.585960114161,15.244422638575,---,-28.8399658151251,-20.1815032907111,0,9000,CISPR,2018/11/29 20:09:51,,False
21,False,1,41900000,17.8840252997078,16.673362457911,15.1819684149422,---,-28.76737828619,-20.2587723291587,0,9000,CISPR,2018/11/29 20:09:53,,False
22,False,1,42100000,17.9392163397469,16.858421051661,15.3623959662118,---,-28.5897270998474,-20.0857521852966,0,9000,CISPR,2018/11/29 20:09:55,,False
23,False,1,42600000,18.9069821478524,17.7234875799813,16.2166363836922,---,-27.7431790900456,-19.2500302863346,0,9000,CISPR,2018/11/29 20:09:58,,False
24,False,1,42900000,19.6840893866219,18.4252926947274,16.9092785956063,---,-27.0524850864106,-18.5684991855317,0,9000,CISPR,2018/11/29 20:10:00,,False
25,False,1,43600000,20.9551999212899,19.9469601751961,18.6130902411141,---,-25.5567435318678,-16.8906134659498,0,9000,CISPR,2018/11/29 20:10:02,,False
26,False,1,43900000,21.5291592718758,20.6771924139657,19.3463284613289,---,-24.8376224042093,-16.1684863568461,0,9000,CISPR,2018/11/29 20:10:05,,False
27,False,1,44200000,22.2016751410164,21.2146985174813,19.9905774237313,---,-24.3112274118048,-15.5353485055548,0,9000,CISPR,2018/11/29 20:10:07,,False
28,False,1,44600000,22.5934369208016,21.8111035467782,20.6872326971688,---,-23.7296371973228,-14.8535080469321,0,9000,CISPR,2018/11/29 20:10:09,,False
29,False,1,44800000,22.9169308783211,22.0544583441414,20.9449383856453,---,-23.4936898073669,-14.603209765863,0,9000,CISPR,2018/11/29 20:10:12,,False
30,False,1,45300000,23.2530743719735,22.533225739161,21.5100705267586,---,-23.0334409308659,-14.0565961432682,0,9000,CISPR,2018/11/29 20:10:14,,False
31,False,1,45600000,23.6132275702157,22.6967923285164,21.6807171942391,---,-22.8809854526215,-13.8970605868989,0,9000,CISPR,2018/11/29 20:10:16,,False
32,False,1,46200000,23.3926922918953,22.6849057318368,21.7104794623055,---,-22.9150942715234,-13.8895205410547,0,9000,CISPR,2018/11/29 20:10:18,,False
33,False,1,46500000,23.2976605536141,22.4966885687508,21.5530850531258,---,-23.1144225457205,-14.0580260613455,0,9000,CISPR,2018/11/29 20:10:21,,False
34,False,1,47300000,22.1406094671883,21.2932278753914,20.3083417059578,---,-24.3475128687095,-15.3323990381431,0,9000,CISPR,2018/11/29 20:10:23,,False
35,False,1,47600000,21.5406567694344,20.7233502508797,19.6432568670907,---,-24.9285016043323,-16.0085949881214,0,9000,CISPR,2018/11/29 20:10:25,,False
36,False,1,47800000,21.1410748602547,20.2123715521493,19.1519162298836,---,-25.4468877104702,-16.5073430327358,0,9000,CISPR,2018/11/29 20:10:28,,False
37,False,1,48200000,20.3256833197274,19.2166897894539,18.0238873602547,---,-26.4573842879803,-17.6501867171795,0,9000,CISPR,2018/11/29 20:10:30,,False
38,False,1,48800000,18.7057950140633,17.4804989935555,16.1642758490243,---,-28.215797306101,-19.5320204506322,0,9000,CISPR,2018/11/29 20:10:32,,False
39,False,1,49100000,17.9910122992196,16.7323910833993,15.2379300238289,---,-28.9750163273683,-20.4694773869386,0,9000,CISPR,2018/11/29 20:10:35,,False
40,False,1,49600000,17.1196210028328,15.8690716864266,14.1311185003914,---,-29.8568542428595,-21.5948074288947,0,9000,CISPR,2018/11/29 20:10:37,,False
41,False,1,50300000,18.5648038031258,16.7595212103524,14.9355466009774,---,-28.9923306448597,-20.8163052542347,0,9000,CISPR,2018/11/29 20:10:39,,False
42,False,1,51000000,19.7891385199227,18.735618317286,17.1897275091805,---,-27.042159463852,-18.5880502719575,0,9000,CISPR,2018/11/29 20:10:42,,False
43,False,1,52000000,22.7446210028328,21.8668057562508,20.6553723456063,---,-23.9480090619242,-15.1594424725687,0,9000,CISPR,2018/11/29 20:10:44,,False
44,False,1,53000000,24.7768475653328,24.0301434637703,23.0077359320321,---,-21.8217083914417,-12.84411592318,0,9000,CISPR,2018/11/29 20:10:46,,False
45,False,1,53300000,25.3441922308602,24.6439587713875,23.6181637884774,---,-21.2190041949356,-12.2447991778458,0,9000,CISPR,2018/11/29 20:10:48,,False
46,False,1,53900000,26.0305478216805,25.4471432806649,24.4814450384774,---,-20.4380419078805,-11.403740150068,0,9000,CISPR,2018/11/29 20:10:51,,False
47,False,1,54200000,26.4549023749032,25.7746579291024,24.8341214300789,---,-20.1216383705541,-11.0621748695775,0,9000,CISPR,2018/11/29 20:10:53,,False
48,False,1,54700000,26.9030606390633,26.3805310370125,25.4863049627938,---,-19.5342837811625,-10.4285098553812,0,9000,CISPR,2018/11/29 20:10:55,,False
49,False,1,55000000,27.2977139593758,26.6457974554696,25.7906186224618,---,-19.2801284738165,-10.1353073068244,0,9000,CISPR,2018/11/29 20:10:58,,False
50,False,1,55600000,27.5760953070321,27.1338879706063,26.336936676661,---,-18.8142601809021,-9.61121147484737,0,9000,CISPR,2018/11/29 20:11:00,,False
51,False,1,55800000,27.7820889593758,27.3054730536141,26.5277173163094,---,-18.6500825053016,-9.42783824260633,0,9000,CISPR,2018/11/29 20:11:02,,False
52,False,1,56100000,28.0106198431649,27.5172650458016,26.7767102362313,---,-18.4494016242253,-9.18995643379557,0,9000,CISPR,2018/11/29 20:11:05,,False
53,False,1,56400000,28.3310544134774,27.710845673243,26.9875104071297,---,-18.266932107895,-8.99026737400824,0,9000,CISPR,2018/11/29 20:11:07,,False
54,False,1,56600000,28.3732602240243,27.8561856390633,27.1198880316414,---,-18.1289995494821,-8.86529715690394,0,9000,CISPR,2018/11/29 20:11:09,,False
55,False,1,56800000,28.4185025335946,28.0308072210946,27.3470914007821,---,-17.9617853748582,-8.64550119517071,0,9000,CISPR,2018/11/29 20:11:11,,False
56,False,1,57200000,28.682395661036,28.2240368963875,27.5496899725594,---,-17.7833705143801,-8.45771743820819,0,9000,CISPR,2018/11/29 20:11:14,,False
57,False,1,57400000,28.7163769842782,28.2863156439461,27.6310040594735,---,-17.7284991742289,-8.38381075870153,0,9000,CISPR,2018/11/29 20:11:16,,False
58,False,1,57600000,28.7417676092782,28.3242718817391,27.6698987127938,---,-17.6979503438433,-8.35232351278863,0,9000,CISPR,2018/11/29 20:11:18,,False
59,False,1,57800000,28.6974789740243,28.3500744940438,27.7017209173836,---,-17.679555138946,-8.32790871560618,0,9000,CISPR,2018/11/29 20:11:21,,False
60,False,1,58000000,28.8859784247078,28.3721615912118,27.7398755194344,---,-17.6648754491855,-8.29716152096282,0,9000,CISPR,2018/11/29 20:11:23,,False
61,False,1,58200000,28.7997662665047,28.3477856756844,27.7239300848641,---,-17.6966587721202,-8.32051436294054,0,9000,CISPR,2018/11/29 20:11:25,,False
62,False,1,58400000,28.6991345526375,28.3082883001961,27.692161286036,---,-17.7435635550159,-8.35969056917607,0,9000,CISPR,2018/11/29 20:11:28,,False
63,False,1,58700000,28.6334836126961,28.2592312933602,27.6537320257821,---,-17.803731672963,-8.40923094054108,0,9000,CISPR,2018/11/29 20:11:30,,False
64,False,1,59200000,28.3980557562508,27.9947583319344,27.3845898749032,---,-18.0867231529073,-8.6968916099385,0,9000,CISPR,2018/11/29 20:11:32,,False
65,False,1,59400000,28.2805783392586,27.8482129217782,27.2320477606453,---,-18.2406759704709,-8.85684113160373,0,9000,CISPR,2018/11/29 20:11:34,,False
66,False,1,59700000,28.0035092474618,27.6569134833016,27.0291745306649,---,-18.4430865200586,-9.0708254726953,0,9000,CISPR,2018/11/29 20:11:37,,False
67,False,1,59900000,27.8804928900399,27.4444806219735,26.8351742865243,---,-18.6629267887941,-9.27223312424334,0,9000,CISPR,2018/11/29 20:11:39,,False
68,False,1,60900000,26.8262860418953,26.3107373358407,25.6566922308602,---,-19.833707111964,-10.4877522169444,0,9000,CISPR,2018/11/29 20:11:41,,False
69,False,1,61200000,26.3382565619149,25.8493344427743,25.1658856512703,---,-20.3062211161415,-10.9896699076454,0,9000,CISPR,2018/11/29 20:11:44,,False
70,False,1,61500000,25.9171979071297,25.3806225897469,24.6498410345711,---,-20.7860440802799,-11.5168256354557,0,9000,CISPR,2018/11/29 20:11:46,,False
71,False,1,63000000,22.2921521307625,21.5751645208993,20.6898343207039,---,-24.6470577046832,-15.5323879048785,0,9000,CISPR,2018/11/29 20:11:48,,False
72,False,1,64300000,17.2532803656258,16.056304657618,14.5933606268563,---,-30.2140657161126,-21.6770097468743,0,9000,CISPR,2018/11/29 20:11:51,,False
73,False,1,65000000,16.5456997992196,15.3338238836922,13.5421139837899,---,-30.9624724159643,-22.7541823158666,0,9000,CISPR,2018/11/29 20:11:53,,False
74,False,1,65300000,18.4259564520516,16.9690472723641,15.3538052679696,---,-29.3383601384035,-20.953602142798,0,9000,CISPR,2018/11/29 20:11:55,,False
75,False,1,66000000,21.75101443545,21.0317837835946,19.9368130804696,---,-25.301549553099,-16.396520256224,0,9000,CISPR,2018/11/29 20:11:57,,False
76,False,1,66500000,24.2022854925789,23.619537079493,22.6630551458993,---,-22.732314775719,-13.6887967093128,0,9000,CISPR,2018/11/29 20:12:00,,False
77,False,1,67000000,26.2290417792,25.7905575873055,25.0028836371102,---,-20.5798127864251,-11.3674867366204,0,9000,CISPR,2018/11/29 20:12:02,,False
78,False,1,68000000,29.2547452093758,28.9540402533211,28.2547680975594,---,-17.4533671574465,-8.15263931320818,0,9000,CISPR,2018/11/29 20:12:04,,False
79,False,1,69000000,31.5669247748055,31.2760922552743,30.6514813543953,---,-15.1683521925304,-5.79296309340928,0,9000,CISPR,2018/11/29 20:12:07,,False
80,False,1,70100000,32.7999798895516,32.5303799750008,32.0090176703133,---,-13.9548052135446,-4.47616751823206,0,9000,CISPR,2018/11/29 20:12:09,,False
81,False,1,70500000,33.0301129461922,32.7074811102547,32.1902539374032,---,-13.7925188931055,-4.30974606595703,0,9000,CISPR,2018/11/29 20:12:11,,False
82,False,1,70800000,32.9461285711922,32.6966626288094,32.1824872137703,---,-13.8144484856619,-4.32862390070095,0,9000,CISPR,2018/11/29 20:12:14,,False
83,False,1,71100000,32.9581677557625,32.6557080389657,32.1373135687508,---,-13.8665141866168,-4.3849086568316,0,9000,CISPR,2018/11/29 20:12:16,,False
84,False,1,71900000,32.3080823065438,32.0363690497078,31.5203930975594,---,-14.5154828055042,-5.03145875765263,0,9000,CISPR,2018/11/29 20:12:18,,False
85,False,1,73000000,30.7314068915047,30.4420544745125,29.8603512884774,---,-16.1505381214402,-6.73224130747541,0,9000,CISPR,2018/11/29 20:12:20,,False
86,False,1,74000000,28.8177487494149,28.4946744085946,27.8875577093758,---,-18.1349552243952,-8.74207192361401,0,9000,CISPR,2018/11/29 20:12:23,,False
87,False,1,74000000,28.8221127630868,28.4997098089852,27.8909527899422,---,-18.1299198240046,-8.7386768430476,0,9000,CISPR,2018/11/29 20:12:25,,False
88,False,1,74700000,27.2627408148446,26.8352810980477,26.2000348211922,---,-19.8202744608681,-10.4555207377235,0,9000,CISPR,2018/11/29 20:12:27,,False
89,False,1,76000000,24.4220807196297,23.8981701971688,23.1290433050789,---,-22.8055335098951,-13.574660401985,0,9000,CISPR,2018/11/29 20:12:30,,False
90,False,1,76800000,22.974403107325,22.5330426336922,21.6798016668953,---,-24.2002907030013,-15.0535316697982,0,9000,CISPR,2018/11/29 20:12:32,,False
91,False,1,77000000,22.7208630682625,22.218055451075,21.3799512030282,---,-24.5226852930259,-15.3607895410728,0,9000,CISPR,2018/11/29 20:12:34,,False
92,False,1,77200000,22.9282910467782,22.1941678167977,21.3413846136727,---,-24.5539803347106,-15.4067635378356,0,9000,CISPR,2018/11/29 20:12:37,,False
93,False,1,77400000,22.8551556708016,22.1842114569344,21.3267743231453,---,-24.5713441019813,-15.4287812357704,0,9000,CISPR,2018/11/29 20:12:39,,False
94,False,1,79300000,25.7212292792,25.218902313868,24.4663998724618,---,-21.6070236154181,-12.3595260568244,0,9000,CISPR,2018/11/29 20:12:41,,False
95,False,1,79700000,26.4181286932625,25.9971539618172,25.3242337347664,---,-20.8435867822837,-11.5165070093345,0,9000,CISPR,2018/11/29 20:12:43,,False
96,False,1,80100000,27.1275555731453,26.7266614081063,26.0694729925789,---,-20.1288941508095,-10.7860825663368,0,9000,CISPR,2018/11/29 20:12:46,,False
97,False,1,81500000,28.7409665228524,28.4451596380868,27.7995373846688,---,-18.4622477726808,-9.10787002609881,0,9000,CISPR,2018/11/29 20:12:48,,False
98,False,1,81700000,28.8448559881844,28.5319516302743,27.8850552679696,---,-18.3828631879008,-9.02975955020544,0,9000,CISPR,2018/11/29 20:12:50,,False
99,False,1,81900000,28.9313275458016,28.57913943545,27.9349896551766,---,-18.3430827901324,-8.98723257040581,0,9000,CISPR,2018/11/29 20:12:53,,False
100,False,1,82300000,28.9807583929696,28.6154858709969,27.9797284247078,---,-18.3215511694003,-8.95730861568939,0,9000,CISPR,2018/11/29 20:12:55,,False
101,False,1,82500000,28.921897614161,28.5682904364266,27.9342419745125,---,-18.376154011378,-9.0102024732921,0,9000,CISPR,2018/11/29 20:12:57,,False
102,False,1,82800000,28.8547513128914,28.4704892279305,27.8460843207039,---,-18.4850663309852,-9.1094712382118,0,9000,CISPR,2018/11/29 20:13:00,,False
103,False,1,83400000,28.3556668402352,28.0200039984383,27.4173276068368,---,-18.9577737826996,-9.56045017430121,0,9000,CISPR,2018/11/29 20:13:02,,False
104,False,1,84300000,27.2244717718758,26.8033520819344,26.1789853216805,---,-20.2077590325369,-10.8321257927908,0,9000,CISPR,2018/11/29 20:13:04,,False
105,False,1,86000000,23.7953641058602,23.2208630682625,22.4552991034188,---,-23.8532110091717,-14.6187749740155,0,9000,CISPR,2018/11/29 20:13:06,,False
